Date,XLF,IYF
2020-01-02,31.079999923706055,69.26499938964844
2020-01-03,30.75,68.875
2020-01-06,30.729999542236328,68.83499908447266
2020-01-07,30.530000686645508,68.37000274658203
2020-01-08,30.729999542236328,68.79000091552734
2020-01-09,30.920000076293945,69.23999786376953
2020-01-10,30.690000534057617,69.04000091552734
2020-01-13,30.899999618530273,69.61499786376953
2020-01-14,30.84000015258789,69.3949966430664
2020-01-15,30.670000076293945,69.44499969482422
2020-01-16,30.940000534057617,70.02999877929688
2020-01-17,31.030000686645508,70.33499908447266
2020-01-21,30.770000457763672,70.13500213623047
2020-01-22,30.860000610351562,70.21499633789062
2020-01-23,30.780000686645508,70.25499725341797
2020-01-24,30.389999389648438,69.55000305175781
2020-01-27,29.920000076293945,68.58999633789062
2020-01-28,30.270000457763672,69.25499725341797
2020-01-29,30.219999313354492,69.16500091552734
2020-01-30,30.600000381469727,69.8550033569336
2020-01-31,29.959999084472656,68.43499755859375
2020-02-03,30.170000076293945,68.91999816894531
2020-02-04,30.459999084472656,69.71499633789062
2020-02-05,31.06999969482422,70.55500030517578
2020-02-06,31.030000686645508,70.58499908447266
2020-02-07,30.920000076293945,70.375
2020-02-10,31.010000228881836,70.72000122070312
2020-02-11,31.1200008392334,71.02999877929688
2020-02-12,31.139999389648438,71.26499938964844
2020-02-13,31.1299991607666,71.44499969482422
2020-02-14,31.170000076293945,71.70999908447266
2020-02-18,30.899999618530273,71.31500244140625
2020-02-19,31.1299991607666,71.5
2020-02-20,31.06999969482422,71.63500213623047
2020-02-21,30.770000457763672,71.0999984741211
2020-02-24,29.770000457763672,68.94000244140625
2020-02-25,28.760000228881836,66.53500366210938
2020-02-26,28.549999237060547,66.00499725341797
2020-02-27,27.329999923706055,63.0
2020-02-28,26.59000015258789,61.7400016784668
2020-03-02,27.950000762939453,64.8499984741211
2020-03-03,26.899999618530273,62.685001373291016
2020-03-04,27.790000915527344,64.9800033569336
2020-03-05,26.450000762939453,62.404998779296875
2020-03-06,25.549999237060547,60.650001525878906
2020-03-09,22.809999465942383,54.744998931884766
2020-03-10,24.149999618530273,57.78499984741211
2020-03-11,22.84000015258789,54.564998626708984
2020-03-12,20.3700008392334,49.0
2020-03-13,23.049999237060547,54.44499969482422
2020-03-16,19.889999389648438,47.11000061035156
2020-03-17,20.969999313354492,48.63999938964844
2020-03-18,19.190000534057617,44.82500076293945
2020-03-19,19.610000610351562,45.380001068115234
2020-03-20,18.90999984741211,43.70000076293945
2020-03-23,17.65999984741211,41.18000030517578
2020-03-24,19.850000381469727,46.01499938964844
2020-03-25,20.389999389648438,47.439998626708984
2020-03-26,21.670000076293945,50.46500015258789
2020-03-27,21.010000228881836,49.025001525878906
2020-03-30,21.40999984741211,50.099998474121094
2020-03-31,20.81999969482422,48.63999938964844
2020-04-01,19.549999237060547,45.6150016784668
2020-04-02,20.040000915527344,46.64500045776367
2020-04-03,19.639999389648438,45.630001068115234
2020-04-06,21.049999237060547,49.19499969482422
2020-04-07,21.260000228881836,49.584999084472656
2020-04-08,22.190000534057617,52.119998931884766
2020-04-09,23.3799991607666,54.560001373291016
2020-04-13,22.530000686645508,52.59000015258789
2020-04-14,22.6299991607666,53.185001373291016
2020-04-15,21.649999618530273,50.7599983215332
2020-04-16,21.270000457763672,49.939998626708984
2020-04-17,22.389999389648438,52.41999816894531
2020-04-20,22.0,51.09000015258789
2020-04-21,21.290000915527344,49.70000076293945
2020-04-22,21.520000457763672,50.310001373291016
2020-04-23,21.43000030517578,50.17499923706055
2020-04-24,21.739999771118164,50.685001373291016
2020-04-27,22.479999542236328,52.47999954223633
2020-04-28,22.719999313354492,52.939998626708984
2020-04-29,23.3799991607666,54.65999984741211
2020-04-30,22.790000915527344,53.38999938964844
2020-05-01,22.059999465942383,51.665000915527344
2020-05-04,21.860000610351562,51.415000915527344
2020-05-05,21.790000915527344,51.494998931884766
2020-05-06,21.31999969482422,50.525001525878906
2020-05-07,21.81999969482422,51.54499816894531
2020-05-08,22.290000915527344,52.709999084472656
2020-05-11,21.860000610351562,51.86000061035156
2020-05-12,21.290000915527344,50.17499923706055
2020-05-13,20.65999984741211,48.69499969482422
2020-05-14,21.190000534057617,49.779998779296875
