Date,XLF,IYF,hedge_ratio,signal,strategy_return,cumulative_return
2020-01-02,31.079999923706055,69.26499938964844,0.4486170303602908,0,0.0,1.0
2020-01-03,30.75,68.875,0.446438539397659,0,-0.0,1.0
2020-01-06,30.729999542236328,68.83499908447266,0.44636355231734265,0,-0.0,1.0
2020-01-07,30.530000686645508,68.37000274658203,0.4464687690563721,0,-0.0,1.0
2020-01-08,30.729999542236328,68.79000091552734,0.4466509279406045,0,0.0,1.0
2020-01-09,30.920000076293945,69.23999786376953,0.44649695685782265,0,0.0,1.0
2020-01-10,30.690000534057617,69.04000091552734,0.44450872867983243,0,-0.0,1.0
2020-01-13,30.899999618530273,69.61499786376953,0.44381556258296667,0,0.0,1.0
2020-01-14,30.84000015258789,69.3949966430664,0.4443303369728269,0,-0.0,1.0
2020-01-15,30.670000076293945,69.44499969482422,0.4416247953516782,0,-0.0,1.0
2020-01-16,30.940000534057617,70.02999877929688,0.4417363431608513,0,0.0,1.0
2020-01-17,31.030000686645508,70.33499908447266,0.44110944596667984,0,0.0,1.0
2020-01-21,30.770000457763672,70.13500213623047,0.43870967800658106,0,-0.0,1.0
2020-01-22,30.860000610351562,70.21499633789062,0.439430700651892,0,0.0,1.0
2020-01-23,30.780000686645508,70.25499725341797,0.43808155532601617,0,-0.0,1.0
2020-01-24,30.389999389648438,69.55000305175781,0.43693536795004145,0,-0.0,1.0
2020-01-27,29.920000076293945,68.58999633789062,0.4362119170190588,0,-0.0,1.0
2020-01-28,30.270000457763672,69.25499725341797,0.43706056159861695,0,0.0,1.0
2020-01-29,30.219999313354492,69.16500091552734,0.436926445217418,0,-0.0,1.0
2020-01-30,30.600000381469727,69.8550033569336,0.438047447336262,0,0.0,1.0
2020-01-31,29.959999084472656,68.43499755859375,0.4378222350644562,0,-0.0,1.0
2020-02-03,30.170000076293945,68.91999816894531,0.4377836254736925,0,0.0,1.0
2020-02-04,30.459999084472656,69.71499633789062,0.43694777323234046,0,0.0,1.0
2020-02-05,31.06999969482422,70.55500030517578,0.4403894583003414,0,0.0,1.0
2020-02-06,31.030000686645508,70.58499908447266,0.43971426802960994,0,-0.0,1.0
2020-02-07,30.920000076293945,70.375,0.43945670057450487,0,-0.0,1.0
2020-02-10,31.010000228881836,70.72000122070312,0.4385892360854311,0,0.0,1.0
2020-02-11,31.1200008392334,71.02999877929688,0.43821107095395756,0,0.0,1.0
2020-02-12,31.139999389648438,71.26499938964844,0.4370542972072199,0,-0.0,1.0
2020-02-13,31.1299991607666,71.44499969482422,0.4358089541821456,0,-0.0,1.0
2020-02-14,31.170000076293945,71.70999908447266,0.4347453250047398,0,-0.0,1.0
2020-02-18,30.899999618530273,71.31500244140625,0.4333881046392052,0,-0.0,1.0
2020-02-19,31.1299991607666,71.5,0.4354274981172703,0,0.0,1.0
2020-02-20,31.06999969482422,71.63500213623047,0.43383301265348445,0,-0.0,1.0
2020-02-21,30.770000457763672,71.0999984741211,0.4328803499702597,0,-0.0,1.0
2020-02-24,29.770000457763672,68.94000244140625,0.4319972728122953,1,-0.0,1.0
